Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2020-01-25,Running,Cardio,551.0,56,,,,,
2020-01-27,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-01-27,Running,Cardio,374.0,30,,,,,
2020-01-29,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-01-29,Running,Cardio,308.0,23,,,,,
2020-02-05,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-05,Running,Cardio,499.0,40,,,,,
2020-02-07,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-07,Running,Cardio,330.0,25,,,,,
2020-02-09,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-09,Running,Cardio,389.0,61,,,,,
2020-02-10,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-10,Running,Cardio,358.0,27,,,,,
2020-02-12,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-12,Running,Cardio,347.0,27,,,,,
2020-02-14,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-14,Running,Cardio,731.0,57,,,,,
2020-02-20,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-20,Running,Cardio,696.0,57,,,,,
2020-02-21,Running,Cardio,733.0,57,,,,,
2020-02-26,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-26,Running,Cardio,465.0,37,,,,,
2020-02-29,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-02-29,Running,Cardio,720.0,57,,,,,
2020-03-02,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-02,Running,Cardio,359.0,27,,,,,
2020-03-04,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-04,Running,Cardio,533.0,42,,,,,
2020-03-10,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-10,Running,Cardio,542.0,43,,,,,
2020-03-12,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-12,Running,Cardio,804.0,63,,,,,
2020-03-16,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-16,Running,Cardio,772.0,61,,,,,
2020-03-17,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-17,Running,Cardio,492.0,36,,,,,
2020-03-21,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-21,Running,Cardio,453.0,33,,,,,
2020-03-22,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-22,Running,Cardio,426.0,33,,,,,
2020-03-23,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-23,Running,Cardio,335.0,25,,,,,
2020-03-24,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-24,Running,Cardio,487.0,35,,,,,
2020-03-25,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-25,Running,Cardio,424.0,32,,,,,
2020-03-26,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-26,Running,Cardio,457.0,34,,,,,
2020-03-27,Running,Cardio,485.0,36,,,,,
2020-03-28,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-28,Running,Cardio,834.0,67,,,,,
2020-03-29,Running,Cardio,1003.0,80,,,,,
2020-03-29,Running,Cardio,1003.0,80,,,,,
2020-03-30,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-30,Running,Cardio,341.0,28,,,,,
2020-03-31,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
2020-03-31,Running,Cardio,481.0,36,,,,,
2020-04-01,MapMyFitness calorie adjustment,Cardio,0.0,1,,,,,
