Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2020-03-25,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-25,Dinner,,974.5,34.7,13.2,0.0,0.0,0.0,90.0,591.5,2389.0,135.2,16.9,6.8,34.7,20.0,25.0,50.0,37.0,
2020-03-25,Snacks,,583.0,42.0,7.5,0.0,0.0,0.0,0.0,255.0,540.0,52.0,3.0,3.0,15.0,0.0,0.0,6.0,30.0,
2020-03-26,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-26,Dinner,,1476.0,72.1,2.4,6.0,2.0,0.0,0.0,1586.0,2140.5,172.5,5.8,2.7,32.8,20.0,20.0,47.0,20.0,
2020-03-26,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-03-27,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-27,Dinner,,1220.0,53.0,21.4,3.9,19.2,0.0,45.0,3411.0,1104.0,189.8,20.7,35.7,27.0,18.0,45.0,6.0,33.0,
2020-03-27,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-03-28,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-28,Dinner,,1249.2,73.7,7.4,0.0,0.0,0.0,0.0,1657.5,0.0,57.8,11.7,16.4,11.7,10.9,0.0,0.0,76.5,
2020-03-28,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-03-28,Snacks,,259.0,16.2,9.2,2.0,3.5,0.0,0.0,90.0,460.0,25.0,1.0,7.5,2.9,0.0,0.0,0.0,1.0,
2020-03-29,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-29,Dinner,,1265.2,2.2,0.3,0.9,0.5,0.0,0.0,1.5,318.3,30.6,3.5,6.6,5.0,19.0,8.0,4.4,0.7,
2020-03-29,Lunch,,482.0,38.0,11.1,5.3,17.6,0.0,0.0,3120.0,0.0,31.6,4.6,0.1,11.2,0.0,0.0,0.0,0.0,
2020-03-29,Snacks,,1107.4,67.0,4.6,2.0,12.5,0.0,0.0,2080.6,1094.9,89.6,4.2,16.4,22.6,0.0,0.0,45.0,1.0,
2020-03-30,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-03-30,Dinner,,1034.5,24.5,5.7,3.4,10.5,0.0,0.0,2444.9,913.4,171.5,23.3,14.8,39.0,9.2,61.2,15.3,44.1,
2020-03-30,Snacks,,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-31,Breakfast,,536.0,20.2,2.3,7.8,2.4,0.0,0.0,700.0,700.0,60.1,9.1,1.1,30.7,23.0,75.0,33.0,58.0,
2020-03-31,Dinner,,1305.0,40.5,6.8,0.0,0.0,0.0,0.0,340.0,0.0,184.0,6.0,37.0,35.0,0.0,8.0,0.0,34.0,
2020-03-31,Lunch,,400.0,13.1,2.4,7.6,2.6,0.0,0.0,271.3,440.0,44.4,7.0,0.9,29.7,20.0,75.0,24.2,58.0,
2020-04-01,Breakfast,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-04-01,Dinner,,839.0,55.5,3.9,6.0,2.0,0.0,0.0,726.0,0.0,57.8,2.5,5.9,24.5,0.0,45.0,2.0,4.0,
2020-04-01,Snacks,,1011.4,41.2,16.9,5.3,5.6,0.0,0.0,1122.8,150.0,75.1,8.7,14.0,28.9,0.0,0.0,0.0,20.0,
2020-04-02,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-02,Dinner,,702.0,19.1,11.1,0.2,2.4,0.0,0.0,200.9,1500.0,93.2,5.5,11.5,39.0,0.0,0.0,0.0,1.9,
2020-04-02,Lunch,,392.0,12.3,4.5,3.1,1.6,0.0,0.0,675.0,150.0,31.2,3.0,6.0,3.9,9.0,0.0,6.0,3.0,
2020-04-02,Snacks,,1061.0,75.2,14.1,0.0,4.5,0.0,0.0,1190.2,0.0,52.6,7.8,17.3,27.9,0.0,0.0,45.0,0.0,
2020-04-03,Dinner,,1665.0,74.1,8.3,0.0,0.0,0.0,0.0,1970.0,0.0,200.0,18.9,27.3,30.0,0.0,15.0,0.0,52.5,
2020-04-03,Lunch,,507.6,16.3,1.6,0.0,0.0,0.0,0.0,60.5,0.0,62.8,5.2,3.1,26.5,0.0,0.0,6.6,11.0,
2020-04-03,Snacks,,101.4,1.8,0.3,0.0,0.0,0.0,0.0,4.8,116.1,18.5,0.5,18.5,3.3,0.0,0.0,19.7,0.0,
2020-04-04,Breakfast,,249.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,
2020-04-04,Dinner,,1192.0,35.8,12.2,0.0,0.0,0.0,0.0,1200.5,0.0,199.6,17.4,33.8,25.0,0.0,0.0,0.0,30.0,
2020-04-04,Lunch,,200.0,6.5,1.2,3.9,1.2,0.0,0.0,350.0,350.0,23.1,4.6,0.6,14.5,11.5,37.5,16.5,28.5,
2020-04-04,Snacks,,304.0,11.7,1.6,0.0,0.0,0.0,0.0,200.0,0.0,27.1,0.0,11.2,6.4,0.0,0.0,45.0,0.0,
2020-04-05,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-05,Dinner,,904.0,24.9,7.3,1.6,10.2,0.0,30.0,800.3,1536.1,143.4,11.8,28.4,28.2,32.0,140.0,55.1,36.1,
2020-04-05,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-04-05,Snacks,,281.8,20.5,4.1,0.0,0.0,0.0,0.0,0.5,0.0,13.6,0.0,6.8,9.5,0.0,0.0,0.0,0.0,
2020-04-06,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-06,Dinner,,1032.5,29.5,8.1,0.2,0.4,0.0,37.5,1785.5,0.0,145.9,15.8,46.0,46.5,15.0,37.5,11.6,16.0,
2020-04-06,Lunch,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-04-06,Snacks,,84.5,6.1,1.2,0.0,0.0,0.0,0.0,0.1,0.0,4.1,0.0,2.0,2.9,0.0,0.0,0.0,0.0,
2020-04-07,Breakfast,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-04-07,Dinner,,1327.0,67.6,22.1,6.0,2.0,0.0,0.0,7230.4,0.0,141.9,25.1,16.0,37.4,25.0,8.0,47.0,17.0,
2020-04-07,Lunch,,388.0,14.6,2.4,0.4,1.2,0.0,0.0,800.0,0.0,48.4,9.6,9.2,8.0,0.0,0.0,0.0,0.0,
2020-04-08,Breakfast,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-04-08,Dinner,,874.4,44.6,6.5,20.2,12.4,0.0,0.0,1122.2,60.6,79.1,2.6,7.1,35.1,30.0,45.6,3.2,3.6,
2020-04-08,Lunch,,631.0,31.3,7.5,0.0,0.0,0.0,0.0,610.0,0.0,68.7,9.6,23.1,23.9,0.0,0.0,0.0,0.0,
2020-04-08,Snacks,,42.2,0.2,0.0,0.1,0.0,0.0,0.0,0.7,57.0,10.7,1.8,7.4,0.5,2.2,7.2,4.4,0.2,
2020-04-09,Breakfast,,501.4,14.8,2.6,7.7,2.4,0.0,0.0,5.5,116.1,63.5,7.5,19.4,32.3,23.0,75.0,52.7,57.0,
2020-04-09,Dinner,,947.7,44.7,4.8,6.0,2.0,0.0,0.0,1775.3,1100.4,87.8,4.1,9.5,22.2,193.9,50.9,20.1,26.0,
2020-04-09,Lunch,,273.6,10.5,4.8,0.1,0.0,0.0,0.0,232.9,68.4,37.7,4.0,20.4,10.0,2.7,8.6,5.3,0.2,
2020-04-09,Snacks,,253.6,18.4,3.7,0.0,0.0,0.0,0.0,0.4,0.0,12.3,0.0,6.1,8.6,0.0,0.0,0.0,0.0,
2020-04-10,Breakfast,,400.0,13.0,2.3,7.7,2.4,0.0,0.0,0.7,0.0,45.0,7.0,0.9,29.0,23.0,75.0,33.0,57.0,
2020-04-10,Dinner,,809.2,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,112.8,2.8,1.8,78.7,0.0,0.0,0.0,0.0,
2020-04-10,Lunch,,400.0,13.0,2.5,7.0,2.5,0.2,0.2,0.0,0.0,45.0,8.0,1.0,29.0,0.0,0.0,0.0,0.0,
2020-04-10,Snacks,,591.0,25.8,7.5,0.0,0.0,0.0,0.0,1120.0,0.0,74.3,4.7,12.1,16.4,0.0,8.0,4.0,15.0,
2020-04-11,Breakfast,,223.0,10.2,4.8,0.0,0.0,0.0,0.0,232.0,0.0,24.8,1.9,11.6,9.3,0.0,0.0,0.0,0.0,
2020-04-11,Dinner,,775.0,47.9,6.9,8.0,8.0,0.0,0.0,1192.9,326.0,49.7,8.3,4.6,27.4,0.0,0.0,0.0,0.0,
2020-04-11,Lunch,,400.0,13.0,2.5,7.0,2.5,0.2,0.2,0.0,0.0,45.0,8.0,1.0,29.0,0.0,0.0,0.0,0.0,
2020-04-11,Snacks,,663.0,37.7,18.7,0.0,0.0,0.0,0.0,0.6,0.0,76.7,0.0,44.3,3.0,0.0,0.0,0.0,0.0,
2020-04-12,Breakfast,,394.0,16.8,2.5,4.2,1.5,0.1,0.1,200.0,0.0,42.5,4.8,0.7,19.1,0.0,0.0,0.0,0.0,
2020-04-12,Snacks,,1051.8,68.1,27.5,0.0,0.0,0.0,0.0,200.1,0.0,94.0,9.6,35.4,20.3,0.0,0.0,0.0,0.0,
2020-04-16,Breakfast,,400.0,13.0,2.3,7.8,2.4,0.0,0.0,700.0,700.0,46.1,9.1,1.1,29.0,23.0,75.0,33.0,57.0,
2020-04-16,Dinner,,1502.0,86.0,11.0,0.0,0.0,0.0,30.0,1070.0,0.0,142.0,6.0,21.0,35.0,45.0,120.0,12.0,12.0,
2020-04-16,Lunch,,101.4,1.8,0.3,0.0,0.0,0.0,0.0,4.8,116.1,18.5,0.5,18.5,3.3,0.0,0.0,19.7,0.0,
2020-04-19,Breakfast,,400.0,13.0,2.5,7.0,2.5,0.2,0.2,0.0,0.0,45.0,8.0,1.0,29.0,0.0,0.0,0.0,0.0,
2020-04-19,Dinner,,1190.1,66.1,5.0,7.4,11.8,0.0,0.0,751.0,1860.1,92.0,17.8,9.3,26.6,0.0,135.0,6.1,47.1,
