Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"May 31, 2025","May 31, 2025",Run,445,5.63226947712,2187,6.470338224767358,4.162602899069435,9.2731205952,14.41405734912,0,5810,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8597979103
"May 30, 2025","May 30, 2025",Run,448,5.541936998400001,2273,6.833094726795514,3.9726870078740157,8.78080617216,15.1031301696,0,6006,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8596135600
"May 29, 2025","May 29, 2025",Run,458,5.5675094745600004,2379,7.120230354728386,4.553538584665553,8.42670221184,13.17656837376,0,6262,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8594265610
"May 28, 2025","May 28, 2025",Run,442,5.547521422080001,2200,6.608779726397836,4.362647140698321,9.07885668096,13.753131955199999,0,5832,Decent time despite feeling hard,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8592403780
"May 27, 2025","May 27, 2025",Run,437,5.46681282048,2177,6.635995784617832,4.592753320607652,9.041616460799998,13.064059134719999,0,5769,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8590477936
"May 26, 2025","May 26, 2025",Run,438,5.598264038400001,2123,6.314560466873459,4.122381541795912,9.501824471039999,14.55468182784,0,5653,Awsome time. Quickest yet since restarting running. It does pay off eventually,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8588496514
"May 25, 2025","May 25, 2025",Run,448,5.577712715520001,2252,6.726902390042154,4.472399934383202,8.91945115776,13.41562033152,0,5960,Good run,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8586717223
"May 24, 2025","May 24, 2025",Run,453,5.59020122496,2310,6.884047164558975,4.607628946949813,8.71578867456,13.021878228479999,0,6100,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8584930111
"May 23, 2025","May 23, 2025",Run,452,5.63450646528,2268,6.705092261194624,4.232805416368408,8.94838716288,14.17500539136,0,6004,Good one,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8583304231
"May 22, 2025","May 22, 2025",Run,453,5.5847133619200005,2312,6.896971685357512,4.025155591346536,8.69948601984,14.906243024639998,0,6104,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8581629784
"May 21, 2025","May 21, 2025",Run,458,5.685200801280001,2309,6.768409985683607,4.183008729022509,8.864685181439999,14.343745109759999,0,6107,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8579862853
"May 19, 2025","May 19, 2025",Run,448,5.43737791872,2332,7.146390081921577,5.27911993955301,8.3958671808,11.365525290239999,0,6137,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8575859578
"May 18, 2025","May 18, 2025",Run,437,5.447178823680001,2200,6.731624811103158,0.7120416766086057,8.913126435839999,84.2650909056,0,5822,"Lets go! What a good time! Perfect storms? Good food last night, cool weather, church morning?",Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8574045034
"May 17, 2025","May 17, 2025",Run,435,5.439099916800001,2406,7.371512864869164,5.103421021235982,8.1394182144,11.756821190399998,0,6314,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8572333540
"May 16, 2025","May 16, 2025",Run,441,5.451524052480001,2387,7.297196870277579,0.28019553308677325,8.222315523839999,214.13609395199998,0,6270,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8570619076
"May 15, 2025","May 15, 2025",Run,425,5.435961696,2483,7.6108029109997615,0.40501098584267875,7.88350033152,148.14413856,0,6498,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8568751249
"May 14, 2025","May 14, 2025",Run,437,5.43678246144,2393,7.333671359261911,0.26961855265250934,8.181405999359999,222.53686963199996,0,6282,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8566760242
"May 13, 2025","May 13, 2025",Run,424,5.4489973824,2509,7.674493458204087,1.393120426708025,7.81812877824,43.0687813248,0,6561,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8564717089
"May 12, 2025","May 12, 2025",Run,437,5.451073436160001,2410,7.36728754076195,0.7845681221665474,8.14411749888,76.47554407679999,0,6325,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8562660169
"May 11, 2025","May 11, 2025",Run,434,5.4440566963200006,2418,7.40239501312336,0.36343876759723215,8.10549324288,165.08972620799997,0,6343,Hot today,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8560788649
"May 10, 2025","May 10, 2025",Run,438,5.442125483520001,2397,7.340754990853416,0.912284757019009,8.173520213759998,65.76906124799999,0,6293,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8559039880
"May 9, 2025","May 9, 2025",Run,444,5.4382952448,2361,7.232512129165672,1.1108314940746042,8.29586254464,54.01344706559999,0,6206,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8557298026
"May 8, 2025","May 8, 2025",Run,448,5.45211950976,2352,7.189326831305178,0.35154696572019406,8.34570392832,170.674149888,0,6186,Think that was pretty good. Cooler temps male it easier a little,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8555363416
"May 7, 2025","May 7, 2025",Run,443,5.468148576,2390,7.282346098783106,5.144860266046289,8.239084888319999,11.662127389439998,0,6278,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8553331915
"May 6, 2025","May 6, 2025",Run,435,5.47299270144,2438,7.422465302632625,0.1917905680823988,8.083541790719998,312.84198950399997,0,6394,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8551321723
"May 5, 2025","May 5, 2025",Run,423,5.453841507840001,2523,7.709787341923168,0.6321333412868846,7.782288687359999,94.91637323519998,0,6595,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8549369191
"May 3, 2025","May 3, 2025",Run,430,5.4667484467200005,2467,7.519523482860096,0.18877816054243218,7.979224112639999,317.832565248,0,6462,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8545813591
"May 2, 2025","May 2, 2025",Run,339,5.89473739008,5322,15.045633500357908,2.1243003360375408,3.9878739647999994,28.244630937599997,0,13335,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8543973892
"May 1, 2025","May 1, 2025",Run,421,5.45091250176,2539,7.763287401574803,0.3005286626103555,7.728697532159999,199.64877926399998,0,6633,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8541953005
"April 30, 2025","April 30, 2025",Run,420,5.4600213888,2561,7.8170981468225555,1.3198980454147775,7.675476526079999,45.4580134272,0,6687,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8539915024
"April 29, 2025","April 29, 2025",Run,430,5.47505266176,2476,7.534498528593017,1.1868500457329196,7.963404261119999,50.554001203199995,0,6485,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8537840122
"April 28, 2025","April 28, 2025",Run,419,5.4569153548800005,2566,7.833253797820727,0.3728084238049789,7.65962448768,160.940837376,0,6698,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8535687370
"April 26, 2025","April 26, 2025",Run,450,5.46681282048,2338,7.1256362841008505,0.3269114620615605,8.420313116159999,183.53602713599997,0,6154,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8532082558
"April 25, 2025","April 25, 2025",Run,443,5.45582100096,2381,7.273833313449455,0.805949504891434,8.24872485888,74.4463222272,0,6256,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8530377499
"April 24, 2025","April 24, 2025",Run,429,5.459023595520001,2468,7.532261592300962,0.30218213135289906,7.96572171648,198.55603468799998,0,6464,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8528461072
"April 23, 2025","April 23, 2025",Run,414,5.4408701952000005,2598,7.957528036268194,0.38355565994591584,7.54005022848,156.4309726848,0,6773,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8526415909
"April 22, 2025","April 22, 2025",Run,434,5.40913393152,2387,7.353368826055833,3.865208432752724,8.15951892096,15.523104579839998,0,6265,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8524304380
"April 21, 2025","April 21, 2025",Run,447,5.44743631872,2352,7.193987115246958,0.36702097252048044,8.340280439039999,163.478772864,0,6185,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8522268439
"April 19, 2025","April 19, 2025",Run,446,5.45091250176,2306,7.050201821363238,0.18246440785810866,8.510420286719999,328.83082214399997,0,6076,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8518958578
"April 18, 2025","April 18, 2025",Run,447,5.432662540800001,2325,7.130234430923407,0.6296664976537023,8.414857439999999,95.2886145024,0,6119,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8517209083
"April 17, 2025","April 17, 2025",Run,435,5.45289199488,2419,7.392639485405233,0.1273121222063151,8.11621147392,471.28190630399996,0,6346,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8515343035
"April 16, 2025","April 16, 2025",Run,431,5.451250464,2437,7.448562892706593,1.55330992006681,8.055265616639998,38.6271528192,0,6389,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8513549746
"April 15, 2025","April 15, 2025",Run,427,5.45379322752,2484,7.587066531456295,0.2728037013839179,7.9082037619199985,219.937779072,0,6502,,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8511682675
"April 14, 2025","April 14, 2025",Run,446,5.440966755840001,2307,7.065549689811501,1.1988425097431001,8.491912830719999,50.048184383999995,0,6077,Good time,Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8509661815
